"term","yind","hour","time","coef","se","lb","ub"
"Intercept",20.479797979798,20.479797979798,"20:29",0.83305737789224,30.0861608978917,-58.1358179819755,59.80193273776
"Intercept",20.7121212121212,20.7121212121212,"20:43",0.844592145175785,30.0868246550917,-58.1255841788039,59.8147684691554
"Intercept",20.9444444444444,20.9444444444444,"20:57",0.858506873345456,30.0874577155847,-58.1129102492005,59.8299239958914
"Intercept",21.1767676767677,21.1767676767677,"21:11",0.874856559289766,30.0880675372174,-58.0977558136563,59.8474689322358
"Intercept",21.4090909090909,21.4090909090909,"21:25",0.893180097102253,30.088715925882,-58.0807031176264,59.8670633118309
"Intercept",21.6414141414141,21.6414141414141,"21:38",0.913000752439861,30.0894426833959,-58.062306907016,59.8883084118958
"Intercept",21.8737373737374,21.8737373737374,"21:52",0.933841790959534,30.09024274009,-58.0430339796169,59.9107175615359
"Intercept",22.1060606060606,22.1060606060606,"22:06",0.955226478318216,30.0910700798853,-58.023270878257,59.9337238348934
"Intercept",22.3383838383838,22.3383838383838,"22:20",0.97667545657662,30.0918728780037,-58.0033953843107,59.9567462974639
"Intercept",22.5707070707071,22.5707070707071,"22:34",0.997685448366994,30.0926776169753,-57.9839626809046,59.9793335776386
"Intercept",22.8030303030303,22.8030303030303,"22:48",1.01774038506091,30.0935498016398,-57.9656172261532,60.001097996275
"Intercept",23.0353535353535,23.0353535353535,"23:02",1.03632407727865,30.0945267747245,-57.9489484011813,60.0215965557386
"Intercept",23.2676767676768,23.2676767676768,"23:16",1.0529203356405,30.095599944316,-57.9344555552189,60.0402962264999
"Intercept",23.5,23.5,"23:30",1.06701297076673,30.096722931411,-57.9225639747987,60.0565899163322
"group",0.5,0.5,"00:30",195.223176298847,37.8696358964582,120.998689941789,269.447662655905
"group",0.732323232323232,0.732323232323232,"00:44",195.223176320852,37.8696358960813,120.998689964533,269.447662677171
"group",0.964646464646465,0.964646464646465,"00:58",195.223176332473,37.8696358953678,120.998689977552,269.447662687394
"group",1.1969696969697,1.1969696969697,"01:12",195.223176337285,37.8696358947135,120.998689983646,269.447662690923
"group",1.42929292929293,1.42929292929293,"01:26",195.223176338865,37.8696358944268,120.998689985789,269.447662691942
"group",1.66161616161616,1.66161616161616,"01:40",195.223176340791,37.8696358946368,120.998689987303,269.447662694279
"group",1.89393939393939,1.89393939393939,"01:54",195.223176346638,37.8696358952585,120.998689991932,269.447662701345
"group",2.12626262626263,2.12626262626263,"02:08",195.223176359984,37.8696358960136,120.998690003797,269.44766271617
"group",2.35858585858586,2.35858585858586,"02:22",195.223176384404,37.8696358965081,120.998690027248,269.44766274156
"group",2.59090909090909,2.59090909090909,"02:35",195.223176423132,37.8696358964033,120.998690066182,269.447662780083
"group",2.82323232323232,2.82323232323232,"02:49",195.223176476414,37.8696358958361,120.998690120575,269.447662832253
"group",3.05555555555556,3.05555555555556,"03:03",195.223176542955,37.8696358952067,120.99869018835,269.44766289756
"group",3.28787878787879,3.28787878787879,"03:17",195.223176621451,37.8696358948607,120.998690267524,269.447662975378
"group",3.52020202020202,3.52020202020202,"03:31",195.223176710594,37.8696358949827,120.998690356428,269.44766306476
"group",3.75252525252525,3.75252525252525,"03:45",195.223176809079,37.8696358955462,120.998690453808,269.44766316435
"group",3.98484848484848,3.98484848484848,"03:59",195.2231769156,37.869635896321,120.99869055881,269.447663272389
"group",4.21717171717172,4.21717171717172,"04:13",195.22317702885,37.8696358969364,120.998690670855,269.447663386845
"group",4.44949494949495,4.44949494949495,"04:27",195.22317714746,37.8696358970127,120.998690789315,269.447663505605
"group",4.68181818181818,4.68181818181818,"04:41",195.223177268596,37.8696358965498,120.998690911358,269.447663625834
"group",4.91414141414141,4.91414141414141,"04:55",195.223177387959,37.869635895928,120.99869103194,269.447663743978
"group",5.14646464646465,5.14646464646465,"05:09",195.223177501187,37.8696358955181,120.998691145971,269.447663856402
"group",5.37878787878788,5.37878787878788,"05:23",195.223177603916,37.8696358955505,120.998691248638,269.447663959195
"group",5.61111111111111,5.61111111111111,"05:37",195.223177691786,37.8696358960519,120.998691335524,269.447664048048
"group",5.84343434343434,5.84343434343434,"05:51",195.223177760433,37.8696358968382,120.99869140263,269.447664118236
"group",6.07575757575758,6.07575757575758,"06:05",195.223177805496,37.8696358975637,120.998691446271,269.447664164721
"group",6.30808080808081,6.30808080808081,"06:18",195.223177822634,37.8696358978287,120.99869146289,269.447664182378
"group",6.54040404040404,6.54040404040404,"06:32",195.223177810302,37.8696358974949,120.998691451212,269.447664169392
"group",6.77272727272727,6.77272727272727,"06:46",195.22317777238,37.8696358968969,120.998691414462,269.447664130298
"group",7.00505050505051,7.00505050505051,"07:00",195.223177713371,37.8696358964242,120.998691356379,269.447664070362
"group",7.23737373737374,7.23737373737374,"07:14",195.223177637778,37.8696358963507,120.99869128093,269.447663994625
"group",7.46969696969697,7.46969696969697,"07:28",195.223177550104,37.869635896757,120.99869119246,269.447663907747
"group",7.7020202020202,7.7020202020202,"07:42",195.223177454852,37.8696358975093,120.998691095733,269.44766381397
"group",7.93434343434343,7.93434343434343,"07:56",195.223177356525,37.8696358982948,120.998690995867,269.447663717183
"group",8.16666666666667,8.16666666666667,"08:10",195.223177259627,37.8696358987133,120.998690898148,269.447663621105
"group",8.3989898989899,8.3989898989899,"08:24",195.223177167802,37.8696358985099,120.998690806722,269.447663528881
"group",8.63131313131313,8.63131313131313,"08:38",195.223177081265,37.8696358979389,120.998690721305,269.447663441225
"group",8.86363636363636,8.86363636363636,"08:52",195.223176999374,37.8696358973998,120.99869064047,269.447663358278
"group",9.0959595959596,9.0959595959596,"09:06",195.223176921484,37.869635897205,120.998690562963,269.447663280006
"group",9.32828282828283,9.32828282828283,"09:20",195.223176846954,37.8696358974875,120.998690487878,269.447663206029
"group",9.56060606060606,9.56060606060606,"09:34",195.223176775139,37.8696358981661,120.998690414733,269.447663135544
"group",9.79292929292929,9.79292929292929,"09:48",195.223176705396,37.8696358989664,120.998690343422,269.44766306737
"group",10.0252525252525,10.0252525252525,"10:02",195.223176637083,37.8696358994981,120.998690274067,269.447663000099
"group",10.2575757575758,10.2575757575758,"10:15",195.223176569622,37.8696358994263,120.998690206747,269.447662932498
"group",10.489898989899,10.489898989899,"10:29",195.223176503013,37.8696358988884,120.998690141192,269.447662864834
"group",10.7222222222222,10.7222222222222,"10:43",195.223176437551,37.8696358982836,120.998690076915,269.447662798186
"group",10.9545454545455,10.9545454545455,"10:57",195.223176373533,37.8696358979569,120.998690013538,269.447662733529
"group",11.1868686868687,11.1868686868687,"11:11",195.223176311259,37.8696358980921,120.998689950998,269.447662671519
"group",11.4191919191919,11.4191919191919,"11:25",195.223176251025,37.8696358986616,120.998689889648,269.447662612402
"group",11.6515151515152,11.6515151515152,"11:39",195.223176193131,37.8696358994346,120.998689830239,269.447662556022
"group",11.8838383838384,11.8838383838384,"11:53",195.223176137873,37.8696359000394,120.998689773796,269.44766250195
"group",12.1161616161616,12.1161616161616,"12:07",195.223176085564,37.8696359000955,120.998689721376,269.447662449751
"group",12.3484848484848,12.3484848484848,"12:21",195.223176036819,37.8696358996028,120.998689673598,269.447662400041
"group",12.5808080808081,12.5808080808081,"12:35",195.223175992562,37.8696358989416,120.998689630636,269.447662354487
"group",12.8131313131313,12.8131313131313,"12:49",195.223175953726,37.8696358984831,120.998689592699,269.447662314753
"group",13.0454545454545,13.0454545454545,"13:03",195.223175921249,37.8696358984582,120.998689560271,269.447662282227
"group",13.2777777777778,13.2777777777778,"13:17",195.223175896064,37.869635898894,120.998689534232,269.447662257896
"group",13.510101010101,13.510101010101,"13:31",195.223175879108,37.8696358996065,120.998689515879,269.447662242336
"group",13.7424242424242,13.7424242424242,"13:45",195.223175871315,37.8696359002505,120.998689506824,269.447662235806
"group",13.9747474747475,13.9747474747475,"13:58",195.223175873614,37.8696359004266,120.998689508778,269.44766223845
"group",14.2070707070707,14.2070707070707,"14:12",195.223175886132,37.8696358999969,120.998689522138,269.447662250126
"group",14.4393939393939,14.4393939393939,"14:26",195.223175907436,37.8696358992963,120.998689544815,269.447662270057
"group",14.6717171717172,14.6717171717172,"14:40",195.223175935914,37.8696358987145,120.998689574433,269.447662297394
