"term","hour","time","coef","lb","ub"
"tc",14.5833333333333,"14:35",7.10118234410571e-07,-0.00139161280465428,0.0013930330411231
"tc",14.6666666666667,"14:40",7.157302395841e-07,-0.00139027481858246,0.00139170627906163
"tc",14.75,"14:45",7.19737821750163e-07,-0.00138979703852604,0.00139123651416954
"tc",14.8333333333333,"14:50",7.23641892754454e-07,-0.00138937475563191,0.00139082203941741
"tc",14.9166666666667,"14:55",7.27280686480402e-07,-0.00138911975292964,0.0013905743143026
"tc",15,"15:00",7.29433927447628e-07,-0.00138980151930189,0.00139126038715678
"tc",15.0833333333333,"15:05",7.31587168414854e-07,-0.00139048328567413,0.00139194646001096
"tc",15.1666666666667,"15:10",7.33088145416665e-07,-0.00139145378098795,0.00139291995727878
"tc",15.25,"15:15",7.33447660479e-07,-0.00139292955194951,0.00139439644727047
"tc",15.3333333333333,"15:20",7.33807175541334e-07,-0.00139440532291107,0.00139587293726216
"tc",15.4166666666667,"15:25",7.33109241704225e-07,-0.00139592363723318,0.00139738985571659
"tc",15.5,"15:30",7.31632134993842e-07,-0.00139747329929463,0.00139893656356462
"tc",15.5833333333333,"15:35",7.30155028283459e-07,-0.00139902296135608,0.00140048327141265
"tc",15.6666666666667,"15:40",7.27197089492647e-07,-0.00139991263153564,0.00140136702571462
"tc",15.75,"15:45",7.2384046514172e-07,-0.00140062461159315,0.00140207229252343
"tc",15.8333333333333,"15:50",7.20483840790792e-07,-0.00140133659165066,0.00140277755933224
"tc",15.9166666666667,"15:55",7.15244647231921e-07,-0.00140063320888629,0.00140206369818075
"tc",16,"16:00",7.1000545367305e-07,-0.00139992982612191,0.00140134983702926
"tc",16.0833333333333,"16:05",7.04400087234922e-07,-0.00139904872072158,0.00140045752089605
"tc",16.1666666666667,"16:10",6.97434650102415e-07,-0.00139750750267341,0.00139890237197362
"tc",16.25,"16:15",6.90469212969908e-07,-0.00139596628462524,0.00139734722305118
"tc",16.3333333333333,"16:20",6.82854653687564e-07,-0.00139445628425666,0.00139582199356404
"tc",16.4166666666667,"16:25",6.74359142916156e-07,-0.00139298865073896,0.00139433736902479
"tc",16.5,"16:30",6.65863632144747e-07,-0.00139152101722125,0.00139285274448554
"tc",16.5833333333333,"16:35",6.56519273561597e-07,-0.00139055836670848,0.0013918714052556
"tc",16.6666666666667,"16:40",6.46689859086023e-07,-0.0013898842779128,0.00139117765763098
"tc",16.75,"16:45",6.36860444610448e-07,-0.00138921018911713,0.00139048391000635
"tc",16.8333333333333,"16:50",6.26065680269903e-07,-0.00138947234913313,0.00139072448049367
"tc",16.9166666666667,"16:55",6.15098532024898e-07,-0.00138990169643692,0.00139113189350097
"tc",17,"17:00",6.04074319305062e-07,-0.00139038649445086,0.00139159464308947
"tc",17.0833333333333,"17:05",5.92165607225361e-07,-0.00139173077847204,0.00139291510968649
"tc",17.1666666666667,"17:10",5.8025689514566e-07,-0.00139307506249321,0.0013942355762835
"tc",17.25,"17:15",5.68144893820515e-07,-0.00139449608486065,0.00139563237464829
"tc",17.3333333333333,"17:20",5.55490787840852e-07,-0.00139612174281812,0.0013972327243938
"tc",17.4166666666667,"17:25",5.4283668186119e-07,-0.00139774740077559,0.00139883307413932
"tc",17.5,"17:30",5.29916285474145e-07,-0.00139907754841469,0.00140013738098564
"tc",17.5833333333333,"17:35",5.16712955529257e-07,-0.00140009371634052,0.00140112714225158
"tc",17.6666666666667,"17:40",5.03509625584368e-07,-0.00140110988426636,0.00140211690351752
"tc",17.75,"17:45",4.90048168460954e-07,-0.00140117141367437,0.00140215151001129
"tc",17.8333333333333,"17:50",4.76474482129486e-07,-0.00140081788285725,0.00140177083182151
"tc",17.9166666666667,"17:55",4.62900795798017e-07,-0.00140046435204012,0.00140139015363172
"tc",18,"18:00",4.49016124567725e-07,-0.00139914962394521,0.00140004765619434
"tc",18.0833333333333,"18:05",4.35100354847552e-07,-0.00139773877612251,0.00139860897683221
"tc",18.1666666666667,"18:10",4.21137148693532e-07,-0.00139630991142362,0.00139715218572101
"tc",18.25,"18:15",4.0683002839413e-07,-0.00139475042437234,0.00139556408442912
"tc",18.3333333333333,"18:20",3.92522908094728e-07,-0.00139319093732105,0.00139397598313724
"tc",18.4166666666667,"18:25",3.78068701596074e-07,-0.00139184631628601,0.0013926024536892
"tc",18.5,"18:30",3.63320322698917e-07,-0.00139093142728346,0.00139165806792885
"tc",18.5833333333333,"18:35",3.48571943801761e-07,-0.00139001653828091,0.00139071368216851
"tc",18.6666666666667,"18:40",3.33555655841179e-07,-0.00138968579492342,0.0013903529062351
"tc",18.75,"18:45",3.18316110327741e-07,-0.00138984183960349,0.00139047847182414
"tc",18.8333333333333,"18:50",3.03076564814304e-07,-0.00138999788428355,0.00139060403741318
"tc",18.9166666666667,"18:55",2.87427114274498e-07,-0.00139091744377956,0.00139149229800811
"tc",19,"19:00",2.71646494126254e-07,-0.00139208132801667,0.00139262462100493
"tc",19.0833333333333,"19:05",2.5586587397801e-07,-0.00139324521225378,0.00139375694400174
"tc",19.1666666666667,"19:10",2.39512179741685e-07,-0.00139486790718208,0.00139534693154156
"tc",19.25,"19:15",2.23140576940108e-07,-0.00139650493994447,0.00139695122109835
"tc",19.3333333333333,"19:20",2.06652448561829e-07,-0.00139807335127897,0.00139848665617609
"tc",19.4166666666667,"19:25",1.89639955088393e-07,-0.00139933296618795,0.00139971224609813
"tc",19.5,"19:30",1.72627461614956e-07,-0.00140059258109694,0.00140093783602017
"tc",19.5833333333333,"19:35",1.55345564060379e-07,-0.0014013629552473,0.00140167364637542
"tc",19.6666666666667,"19:40",1.37649198688661e-07,-0.00140138065130748,0.00140165594970486
"tc",19.75,"19:45",1.19952833316942e-07,-0.00140139834736766,0.00140163825303429
"tc",19.8333333333333,"19:50",1.01912506183812e-07,-0.00140066329482566,0.00140086711983803
"tc",19.9166666666667,"19:55",8.36486039057636e-08,-0.00139943895569225,0.00139960625290007
"tc",20,"20:00",6.53847016277147e-08,-0.00139821461655885,0.0013983453859621
"tc",20.0833333333333,"20:05",4.68819837802099e-08,-0.00139668119542841,0.00139677495939597
"tc",20.1666666666667,"20:10",2.8326195806159e-08,-0.00139507908940974,0.00139513574180135
"tc",20.25,"20:15",9.77012578078705e-09,-0.00139349130359746,0.00139351084384902
"tc",20.3333333333333,"20:20",-8.79496988683606e-09,-0.00139236176438967,0.0013923441744499
"tc",20.4166666666667,"20:25",-2.73600655544592e-08,-0.00139123222518188,0.00139117750505077
"tc",20.5,"20:30",-4.58589138744811e-08,-0.0013903468132866,0.00139025509545885
"tc",20.5833333333333,"20:35",-6.4150739233246e-08,-0.00139022429924287,0.0013900959977644
"tc",20.6666666666667,"20:40",-8.2442564592011e-08,-0.00139010178519914,0.00138993690006996
"tc",20.75,"20:45",-1.00481731627464e-07,-0.00139046558325218,0.00139026461978892
"tc",20.8333333333333,"20:50",-1.1821770867494e-07,-0.00139141295582132,0.00139117652040397
"tc",20.9166666666667,"20:55",-1.35953685722416e-07,-0.00139236032839047,0.00139208842101903
"tc",21,"21:00",-1.5313071189408e-07,-0.00139373657982708,0.00139343031840329
"tc",21.0833333333333,"21:05",-1.70028262627838e-07,-0.00139532727069742,0.00139498721417217
"tc",21.1666666666667,"21:10",-1.86925813361595e-07,-0.00139691796156776,0.00139654410994104
"tc",21.25,"21:15",-2.02838239090252e-07,-0.00139837670098164,0.00139797102450346
"tc",21.3333333333333,"21:20",-2.18614785507859e-07,-0.00139981724019463,0.00139938001062361
"tc",21.4166666666667,"21:25",-2.34263894995956e-07,-0.00140116150113635,0.00140069297334635
"tc",21.5,"21:30",-2.48638635188944e-07,-0.00140154297936537,0.00140104570209499
"tc",21.5833333333333,"21:35",-2.63013375381931e-07,-0.0014019244575944,0.00140139843084363
"tc",21.6666666666667,"21:40",-2.76943357767652e-07,-0.00140189031858659,0.00140133643187106
"tc",21.75,"21:45",-2.89850397196662e-07,-0.00140090025993408,0.00140032055913968
"tc",21.8333333333333,"21:50",-3.02757436625672e-07,-0.00139991020128156,0.00139930468640831
"tc",21.9166666666667,"21:55",-3.15089457121711e-07,-0.00139860530495349,0.00139797512603924
"tc",22,"22:00",-3.26880283327897e-07,-0.00139700409081312,0.00139635033024647
"tc",22.0833333333333,"22:05",-3.38671109534082e-07,-0.00139540287667276,0.00139472553445369
"tc",22.1666666666667,"22:10",-3.49940647634985e-07,-0.00139400523477705,0.00139330535348178
"tc",22.25,"22:15",-3.61014702696409e-07,-0.0013926839324731,0.00139196190306771
"tc",22.3333333333333,"22:20",-3.72088757757832e-07,-0.00139136263016914,0.00139061845265363
"tc",22.4166666666667,"22:25",-3.82864715817204e-07,-0.00139089963142571,0.00139013390199408
"tc",22.5,"22:30",-3.93621441811929e-07,-0.00139049200710554,0.00138970476422192
"tc",22.5833333333333,"22:35",-4.04390609172011e-07,-0.00139025141016875,0.0013894426289504
"tc",22.6666666666667,"22:40",-4.15229448178098e-07,-0.00139094616657887,0.00139011570768252
"tc",22.75,"22:45",-4.26068287184185e-07,-0.001391640922989,0.00139078878641463
"tc",22.8333333333333,"22:50",-4.37082237131882e-07,-0.00139262393129143,0.00139174976681717
"tc",22.9166666666667,"22:55",-4.48402631227395e-07,-0.0013941113804054,0.00139321457514295
"tc",23,"23:00",-4.59723025322909e-07,-0.00139559882951937,0.00139467938346872
"tc",23.0833333333333,"23:05",-4.71550660211825e-07,-0.00139712827199791,0.00139618517067749
"tc",23.1666666666667,"23:10",-4.83752051474827e-07,-0.00139868865695562,0.00139772115285267
"tc",23.25,"23:15",-4.95953442737829e-07,-0.00140024904191332,0.00139925713502785
"tc",23.3333333333333,"23:20",-5.09163664921568e-07,-0.0014011489633229,0.00140013063599305
"tc",23.4166666666667,"23:25",-5.22645495430121e-07,-0.00140187106762336,0.0014008257766325
"tc",23.5,"23:30",-5.36127325938675e-07,-0.00140259317192382,0.00140152091727194
"tc",23.5833333333333,"23:35",-5.36127325938675e-07,-0.00140259317192382,0.00140152091727194
"tc",23.6666666666667,"23:40",-5.36127325938675e-07,-0.00140259317192382,0.00140152091727194
"tc",23.75,"23:45",-5.36127325938675e-07,-0.00140259317192382,0.00140152091727194
"tc",23.8333333333333,"23:50",-5.36127325938675e-07,-0.00140259317192382,0.00140152091727194
"tc",23.9166666666667,"23:55",-5.36127325938675e-07,-0.00140259317192382,0.00140152091727194
"tc",24,"24:00",-5.36127325938675e-07,-0.00140259317192382,0.00140152091727194
"tg",0,"00:00",-86.1399295029645,-141.487115311066,-30.7927436948633
"tg",0.0833333333333333,"00:05",-86.1399295029645,-141.487115311066,-30.7927436948633
"tg",0.166666666666667,"00:10",-86.1399295029645,-141.487115311066,-30.7927436948633
"tg",0.25,"00:15",-86.1399295029645,-141.487115311066,-30.7927436948633
"tg",0.333333333333333,"00:20",-86.1399295029645,-141.487115311066,-30.7927436948633
"tg",0.416666666666667,"00:25",-86.1399295029645,-141.487115311066,-30.7927436948633
"tg",0.5,"00:30",-86.1399295029645,-141.487115311066,-30.7927436948633
"tg",0.583333333333333,"00:35",-86.1399297353685,-141.487115542861,-30.7927439278761
"tg",0.666666666666667,"00:40",-86.1399299677725,-141.487115774656,-30.7927441608888
"tg",0.75,"00:45",-86.1399302024909,-141.487116008617,-30.7927443963646
"tg",0.833333333333333,"00:50",-86.1399304458056,-141.487116250623,-30.7927446409886
"tg",0.916666666666667,"00:55",-86.1399306891203,-141.487116492628,-30.7927448856125
"tg",1,"01:00",-86.1399309337532,-141.487116735999,-30.7927451315072
"tg",1.08333333333333,"01:05",-86.1399311801751,-141.487116981224,-30.7927453791265
"tg",1.16666666666667,"01:10",-86.139931426597,-141.487117226448,-30.7927456267457
"tg",1.25,"01:15",-86.1399316700302,-141.487117469158,-30.7927458709024
"tg",1.33333333333333,"01:20",-86.1399319117557,-141.487117710431,-30.7927461130804
"tg",1.41666666666667,"01:25",-86.1399321534811,-141.487117951704,-30.7927463552585
"tg",1.5,"01:30",-86.1399323846005,-141.487118183227,-30.7927465859738
